filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
Chennai Budget 2022-23.pdf,1,gpt_ocr,other,2022-2023,2,2022.0,-2023.0,,,,,,,,
Chennai Budget 2022-23.pdf,1,gpt_ocr,other,2022-2023,2,2022.0,-2023.0,,,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,other,1 MUNICIPAL FUND INCOME AND EXPENDITURE 01,2,1.0,1.0,,,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,other,2 MUNICIPAL FUND BALANCE SHEET AS ON 31st MARCH - 2023 35,4,2.0,31.0,2023.0,35.0,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,other,3 CAPITAL FUND BALANCE SHEET AS ON 31st MARCH - 2023 51,4,3.0,31.0,2023.0,51.0,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,education,4 ELEMENTARY EDUCATION FUND INCOME AND EXPENDITURE 85,2,4.0,85.0,,,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,education,5 ELEMENTARY EDUCATION FUND BALANCE SHEET AS ON,1,5.0,,,,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,other,31st MARCH - 2023 91,3,31.0,2023.0,91.0,,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,other,6 EARMARKED FUND BALANCE SHEET AS ON 31ST MARCH - 2023 97,4,6.0,31.0,2023.0,97.0,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,other,7 NOTES OF ACCOUNTS AS ON 31ST MARCH - 2023 109,4,7.0,31.0,2023.0,109.0,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,other,8 DETAILS OF DEPARTMENT WISE SUB-SCHEDULES FOR,1,8.0,,,,,,,,,
Chennai Budget 2022-23.pdf,2,gpt_ocr,other,MUNICIPAL FUND AND CAPITAL FUND 115,1,115.0,,,,,,,,,
Chennai Budget 2022-23.pdf,3,gpt_ocr,other,2022-2023,2,2022.0,-2023.0,,,,,,,,
Chennai Budget 2022-23.pdf,3,gpt_ocr,other,2022-2023,2,2022.0,-2023.0,,,,,,,,
Chennai Budget 2022-23.pdf,4,gpt_ocr,other,INCOME AND EXPENDITURE ACCOUNT FOR THE YEAR ENDING 31.03.2023,2,31.03,2023.0,,,,,,,,
Chennai Budget 2022-23.pdf,4,gpt_ocr,other,Account Code | Head of Account | Schedule No | 31-Mar-2023 | 31-Mar-2022,4,31.0,-2023.0,31.0,-2022.0,,,,,,
