filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
TN Budget 2021-22 OOMF.pdf,1,camelot,other,^ Tjq cpssjipiri^ ? 500 ■»i'Jl<j % 'W CIMKI llsfl <Ji«ni,1,500.0,,,,,,,,,
TN Budget 2021-22 OOMF.pdf,1,camelot,other,(For Ceottal Sector and Centrally Sponsored Schemes costing less than ?500 crore),1,500.0,,,,,,,,,
TN Budget 2021-22 OOMF.pdf,1,camelot,other,2021-2022,2,2021.0,-2022.0,,,,,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,1. TIW ^fe^ir 29 - 3n1^^ ^iT^ f^3TRT,5,1.0,29.0,3.0,1.0,3.0,,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,(ii) 4imPi4I ^ s^TioT ^m^TTtrr -H^i-yni (?5tw),3,4.0,4.0,5.0,,,,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,2. HPT 31 - ^M^T f^llFT,2,2.0,31.0,,,,,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,(i) ^sll^-q-tl ^^3Tnt^I?r-VI #> 3irt<''id cjl^ ^ QhcM ^ dicjll ^ 31^I5T,4,3.0,3.0,31.0,5.0,,,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,cft^ffT cr^licl 41<h1 ^1«jI»1i 311t •^'(W 4^<Hl (wtjK-ydK cT^TT,6,41.0,1.0,1.0,1.0,311.0,4.0,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,"^i<h^41 ^ cioxidi ""liioidi (^fnmftitqfrf)",1,41.0,,,,,,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,(iv) ): gftM ^ %3FTT ir|l«^lR«+)l ^ <iloi<rii % f^XT X?eI3T^Xrft cpf,2,3.0,3.0,,,,,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,"(V) (T?5Rft5itofr % ""t-ius-STT ^ ""^iPT TTR^t xqtoPTT - t)",2,5.0,5.0,,,,,,,,
TN Budget 2021-22 OOMF.pdf,2,camelot,other,(vi) 31^ ^TT^SRT ^ ^ ^-3t?IW (XFto),2,31.0,-3.0,,,,,,,,
