filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வர(cid:182) ெசல(cid:182)த் திட்டம் - கண்ேணாட்டம்,2,182.0,182.0,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வரிைச கணக்கு தைலப்(cid:174) கணக்குகள் வர(cid:182) ெசல(cid:182) தி(cid:177)த்த திட்ட வர(cid:182) ெசல(cid:182),6,174.0,182.0,182.0,177.0,182.0,182.0,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,எண் Account Head திட்ட மதிப்(cid:152)(cid:169) மதிப்(cid:152)(cid:169) திட்ட மதிப்(cid:152)(cid:169),6,152.0,169.0,152.0,169.0,152.0,169.0,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,2023-2024 2024-2025 2024-2025 2025-2026,8,2023.0,-2024.0,2024.0,-2025.0,2024.0,-2025.0,2025.0,-2026.0,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,((cid:196)பாய் ேகாடியில்),1,196.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,(cid:175)ன் இ(cid:177)ப்(cid:174),3,175.0,177.0,174.0,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,OPENING BALANCE 677.36 -455.63 512.57 -363.55,4,677.36,-455.63,512.57,-363.55,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வ(cid:177)வாய் கணக்கு,1,177.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வர(cid:182)கள்,1,182.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Receipts 4675.47 4464.60 4987.09 5145.52,4,4675.47,4464.6,4987.09,5145.52,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,1,1,1.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,ெசல(cid:182)கள்,1,182.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Expenditure 4342.40 4727.12 5439.10 5214.09,4,4342.4,4727.12,5439.1,5214.09,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,SURPLUS / DEFICIT 333.07 -262.52 -452.01 -68.57,4,333.07,-262.52,-452.01,-68.57,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,(cid:194)லதனக் கணக்கு,1,194.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வர(cid:182)கள்,1,182.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Receipts 2829.25 3455.00 2548.00 3121.65,4,2829.25,3455.0,2548.0,3121.65,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,2,1,2.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,ெசல(cid:182)கள்,1,182.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Expenditure 2940.47 3140.58 2953.17 3190.61,4,2940.47,3140.58,2953.17,3190.61,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,SURPLUS / DEFICIT -111.22 314.42 -405.17 -68.96,4,-111.22,314.42,-405.17,-68.96,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,நிகர மிைக / பற்றாக்குைற (வ(cid:177)வாய் மற்(cid:178)ம் (cid:194)லதனம்),3,177.0,178.0,194.0,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,revenue_admin,NET SURPLUS / DEFICIT (REVENUE AND CAPITAL) 899.21 -403.73 -344.61 -501.08,4,899.21,-403.73,-344.61,-501.08,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,1,1,1.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,வர(cid:182) ெசல(cid:182)த் திட்டம் - கண்ேணாட்டம்,2,182.0,182.0,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,வரிைச கணக்கு தைலப்(cid:174) கணக்குகள் வர(cid:182) ெசல(cid:182) தி(cid:177)த்த திட்ட வர(cid:182) ெசல(cid:182),6,174.0,182.0,182.0,177.0,182.0,182.0,,,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,எண் Account Head திட்ட மதிப்(cid:152)(cid:169) மதிப்(cid:152)(cid:169) திட்ட மதிப்(cid:152)(cid:169),6,152.0,169.0,152.0,169.0,152.0,169.0,,,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,2023-2024 2024-2025 2024-2025 2025-2026,8,2023.0,-2024.0,2024.0,-2025.0,2024.0,-2025.0,2025.0,-2026.0,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,((cid:196)பாய் ேகாடியில்),1,196.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,வ(cid:177)வாய் (cid:175)ன்பணம்,2,177.0,175.0,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,Recoveries 248.03 253.37 263.45 270.45,4,248.03,253.37,263.45,270.45,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,3,1,3.0,,,,,,,,,
TN Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,Out-Goings 222.57 217.24 223.24 233.24,4,222.57,217.24,223.24,233.24,,,,,,
