gov_level,dataset,pdf_source,fiscal_year,estimate_type,component,amount_crore,sector,demand_no,ministry,department,category,description
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,589470.61,other,99.0,Department of Space,,,Grand Total
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,342744.63,other,99.0,Department of Space,,,Grand Total
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,246725.98,other,99.0,Department of Space,,,Grand Total
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,78334.61,security,16.0,Department of Food and Public Distribution,,,Food Subsidy  to Food Corporation of India under National Food Security Act.
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,78334.61,security,16.0,Department of Food and Public Distribution,,,Food Subsidy  to Food Corporation of India under National Food Security Act.
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,47469.51,other,7.0,Department of Fertilisers,,,Urea Subsidy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,47469.51,other,7.0,Department of Fertilisers,,,Urea Subsidy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,44462.7,education,81.0,Department of Higher Education,,,Road Works
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,35375.0,education,80.0,Department of Higher Education,,,Transfer to National Investement Fund
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,35375.0,education,80.0,Department of Higher Education,,,Transfer to National Investement Fund
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,33686.42,education,81.0,Department of Higher Education,,,Road Works
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,27597.25,education,80.0,Department of Higher Education,,,Manufacturing Suspense
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,27597.25,education,80.0,Department of Higher Education,,,Manufacturing Suspense
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,27338.35,other,16.0,Department of Food and Public Distribution,,,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,27338.35,other,16.0,Department of Food and Public Distribution,,,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,24997.18,other,31.0,Department of Financial Services,,,Recapitalization of Public Sector Banks
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,24997.18,other,31.0,Department of Financial Services,,,Recapitalization of Public Sector Banks
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,19480.88,other,21.0,Department of Food and Public Distribution,,,Aircrafts and Aeroengines - Air Force
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,19480.88,other,21.0,Department of Food and Public Distribution,,,Aircrafts and Aeroengines - Air Force
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,18843.42,other,7.0,Department of Fertilisers,,,Nutrient Based Subsidy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,18843.42,other,7.0,Department of Fertilisers,,,Nutrient Based Subsidy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,17822.91,other,21.0,Department of Food and Public Distribution,,,Other equipment - Army
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,17822.91,other,21.0,Department of Food and Public Distribution,,,Other equipment - Army
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,16717.99,education,80.0,Department of Higher Education,,,Stores Suspense
