gov_level,sector,amount_crore
corporation,education,50138674898655.89
corporation,healthcare,32134767741.99
corporation,infrastructure,90528281368.24
corporation,other,7393317808394614.0
corporation,revenue_admin,230267641656.44
corporation,urban_environment,14401419517.41
corporation,water_sanitation,28548379190.88
state,agriculture_rural,1740361.609
state,education,13463668.473000001
state,healthcare,8857193.155
state,infrastructure,61451755.667
state,other,2606117134539.463
state,revenue_admin,43744225678.3693
state,social_welfare,7563897.118
state,water_sanitation,-578513964.248
union,agriculture_rural,4116858.06
union,education,6334935.66
union,energy,295163.71
union,healthcare,1030214.61
union,infrastructure,1277440.98
union,other,149680727.96
union,security,4604756.8
union,social_welfare,393214.94
union,urban_services,1024431.8099999999
