gov_level,fiscal_year,sector,amount_crore,description
union,2016-17,other,589470.61,Grand Total
union,2016-17,other,342744.63,Grand Total
union,2016-17,other,246725.98,Grand Total
union,2016-17,security,78334.61,Food Subsidy  to Food Corporation of India under National Food Security Act.
union,2016-17,security,78334.61,Food Subsidy  to Food Corporation of India under National Food Security Act.
union,2016-17,other,47469.51,Urea Subsidy
union,2016-17,other,47469.51,Urea Subsidy
union,2016-17,education,44462.7,Road Works
union,2016-17,education,35375.0,Transfer to National Investement Fund
union,2016-17,education,35375.0,Transfer to National Investement Fund
union,2016-17,education,33686.42,Road Works
union,2016-17,education,27597.25,Manufacturing Suspense
union,2016-17,education,27597.25,Manufacturing Suspense
union,2016-17,other,27338.35,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA
union,2016-17,other,27338.35,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA
union,2016-17,other,24997.18,Recapitalization of Public Sector Banks
union,2016-17,other,24997.18,Recapitalization of Public Sector Banks
union,2016-17,other,19480.88,Aircrafts and Aeroengines - Air Force
union,2016-17,other,19480.88,Aircrafts and Aeroengines - Air Force
union,2016-17,other,18843.42,Nutrient Based Subsidy
union,2016-17,other,18843.42,Nutrient Based Subsidy
union,2016-17,other,17822.91,Other equipment - Army
union,2016-17,other,17822.91,Other equipment - Army
union,2016-17,education,16717.99,Stores Suspense
union,2016-17,education,16717.99,Stores Suspense
union,2016-17,education,14192.96,New Lines (Construction)
union,2016-17,education,14192.96,New Lines (Construction)
union,2016-17,agriculture_rural,13397.13,Interest Subsidy for Short Term Credit to Farmers
union,2016-17,agriculture_rural,13397.13,Interest Subsidy for Short Term Credit to Farmers
union,2016-17,education,13000.0,Direct Benefit Transfer
union,2016-17,education,13000.0,Direct Benefit Transfer
union,2016-17,agriculture_rural,11051.55,Crop Insurance Scheme
union,2016-17,agriculture_rural,11051.55,Crop Insurance Scheme
union,2016-17,education,10780.0,Transfer to Central Road Fund
union,2016-17,education,10780.0,Transfer to Central Road Fund
union,2016-17,education,10776.28,Road Works
union,2016-17,other,9877.71,Naval Fleet - Navy
union,2016-17,other,9877.71,Naval Fleet - Navy
union,2016-17,education,8780.7,Under-recovery (other Subsidy Payable)
union,2016-17,education,8780.7,Under-recovery (other Subsidy Payable)
union,2016-17,other,8612.38,Other equipment - Air Force
union,2016-17,other,8612.38,Other equipment - Air Force
union,2016-17,education,7500.0,National Highways Authority of India
union,2016-17,education,7500.0,National Highways Authority of India
union,2016-17,other,7225.79,Compensation to Service Providers for creation and augmentation of telecom infrastructure
union,2016-17,other,7225.79,Compensation to Service Providers for creation and augmentation of telecom infrastructure
union,2016-17,education,7137.8,Investment in Non Governent Undertakings Including Joint Venture/Special Purpose Vehicle
union,2016-17,education,7137.8,Investment in Non Governent Undertakings Including Joint Venture/Special Purpose Vehicle
union,2016-17,education,6999.99,Leased assets - Payment of Capital Component
union,2016-17,education,6999.99,Leased assets - Payment of Capital Component
union,2016-17,other,6899.98,Price Stabilisation Fund
union,2016-17,other,6899.98,Price Stabilisation Fund
union,2016-17,other,6771.5,Research  and Development
union,2016-17,other,6771.5,Research  and Development
union,2016-17,education,6397.96,Track Renewals
union,2016-17,education,6397.96,Track Renewals
union,2016-17,other,5780.63,Construction Works - Army
union,2016-17,other,5780.63,Construction Works - Army
union,2016-17,education,5418.32,Rolling Stock
union,2016-17,education,5418.32,Rolling Stock
union,2016-17,other,4600.06,Space Technology
union,2016-17,other,4500.0,Sugar Subsidy payable under Public Distribution System
union,2016-17,other,4500.0,Sugar Subsidy payable under Public Distribution System
union,2016-17,education,4366.28,Integrated Power Development Scheme
union,2016-17,education,4025.0,"Employees Pension Scheme, 1995"
union,2016-17,education,4025.0,"Employees Pension Scheme, 1995"
union,2016-17,education,3533.35,Gauge Conversion
union,2016-17,education,3533.35,Gauge Conversion
union,2016-17,other,3499.5,Member of Parliament Local Area Development Scheme (MPLAD)
union,2016-17,other,3499.5,Member of Parliament Local Area Development Scheme (MPLAD)
union,2016-17,other,3441.48,Bhutan
union,2016-17,other,3358.33,Other equipment - Navy
union,2016-17,other,3358.33,Other equipment - Navy
union,2016-17,security,3210.0,Optical Fibre Cable based network for Defence Services
union,2016-17,security,3210.0,Optical Fibre Cable based network for Defence Services
union,2016-17,education,3202.17,Road Safety Works - Road Over/Under Bridges
union,2016-17,education,3202.17,Road Safety Works - Road Over/Under Bridges
union,2016-17,education,3178.0,Other subsidy payable including for North Eastern Region
union,2016-17,education,3178.0,Other subsidy payable including for North Eastern Region
union,2016-17,other,2974.06,Aircrafts and Aeroengines - Navy
union,2016-17,other,2974.06,Aircrafts and Aeroengines - Navy
union,2016-17,education,2965.87,Deen Dayal Upadhyaya Gram Jyoti Yojna
union,2016-17,education,2965.87,Deen Dayal Upadhyaya Gram Jyoti Yojna
union,2016-17,education,2824.23,Transfer to National Clean Energy Fund(NCEF) - Grid Interactive Renewable Power
union,2016-17,education,2824.23,Transfer to National Clean Energy Fund(NCEF) - Grid Interactive Renewable Power
union,2016-17,other,2819.84,Space Technology
union,2016-17,education,2785.64,Integrated Power Development Scheme
union,2016-17,other,2621.98,Amended Technology Upgradation Fund Scheme(ATUFS)
union,2016-17,other,2621.98,Amended Technology Upgradation Fund Scheme(ATUFS)
union,2016-17,infrastructure,2589.55,152.  Works under Border Roads Development Board
union,2016-17,infrastructure,2589.55,152.  Works under Border Roads Development Board
union,2016-17,other,2500.0,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA
union,2016-17,education,2500.0,LPG Connection to Poor Households
union,2016-17,other,2500.0,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA
union,2016-17,education,2500.0,LPG Connection to Poor Households
union,2016-17,other,2465.21,Turnaround Plan of Air India Ltd.
union,2016-17,other,2465.21,Turnaround Plan of Air India Ltd.
union,2016-17,other,2359.86,Heavy and Medium Vehicles - Army
union,2016-17,other,2359.86,Heavy and Medium Vehicles - Army
union,2016-17,other,2165.07,Naval Dockyard/projects - Navy
union,2016-17,other,2165.07,Naval Dockyard/projects - Navy
union,2016-17,other,2159.91,Bhutan
union,2016-17,education,2001.0,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve
union,2016-17,education,2001.0,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve
union,2016-17,education,1992.32,Solar Power - Grid Interactive Renewable Power
union,2016-17,education,1992.32,Solar Power - Grid Interactive Renewable Power
union,2016-17,healthcare,1953.15,Pardhan Mantri Swasthya Suraksha Yojana
union,2016-17,education,1850.0,Interest Subsidy and contribution for Guarantee Funds
union,2016-17,education,1850.0,Interest Subsidy and contribution for Guarantee Funds
union,2016-17,other,1833.31,Construction Works - Air Force
union,2016-17,other,1833.31,Construction Works - Air Force
union,2016-17,other,1780.22,Space Technology
union,2016-17,healthcare,1749.17,National AIDS and STD Control Programme
union,2016-17,healthcare,1749.17,National AIDS and STD Control Programme
union,2016-17,other,1675.0,National Ganga Plan and Ghat Works
union,2016-17,other,1675.0,National Ganga Plan and Ghat Works
union,2016-17,other,1672.07,Schemes for Development of Sugar Industries
union,2016-17,education,1650.47,New Lines (Construction) - Dividend Free Projects
union,2016-17,education,1650.47,New Lines (Construction) - Dividend Free Projects
union,2016-17,education,1595.65,Nuclear Fuel Inventory
union,2016-17,education,1595.65,Nuclear Fuel Inventory
union,2016-17,education,1580.64,Integrated Power Development Scheme
union,2016-17,other,1542.38,Non-residential
union,2016-17,other,1539.55,INSAT Satellite Systems
union,2016-17,education,1526.89,522.  Workshop Including Production Units
union,2016-17,education,1526.89,522.  Workshop Including Production Units
union,2016-17,other,1500.0,Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC)
union,2016-17,other,1500.0,Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC)
union,2016-17,other,1437.07,Aircrafts and Aeroengines - Army
union,2016-17,other,1437.07,Aircrafts and Aeroengines - Army
union,2016-17,agriculture_rural,1400.0,Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)
union,2016-17,agriculture_rural,1400.0,Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)
union,2016-17,education,1390.51,Metropolitan Transportation Projects
union,2016-17,education,1390.51,Metropolitan Transportation Projects
union,2016-17,other,1363.42,INSAT Satellite Systems
union,2016-17,education,1347.93,Crop Science
union,2016-17,education,1347.93,Crop Science
union,2016-17,education,1339.36,Doubling
union,2016-17,education,1339.36,Doubling
union,2016-17,other,1281.57,Bhutan
union,2016-17,healthcare,1173.73,Pardhan Mantri Swasthya Suraksha Yojana
union,2016-17,other,1158.14,Duty Drawback Scheme
union,2016-17,other,1158.14,Duty Drawback Scheme
union,2016-17,other,1122.07,Schemes for Development of Sugar Industries
union,2016-17,education,1112.65,Prime Minister Employment Generation Programme (PMEGP)
union,2016-17,education,1112.65,Prime Minister Employment Generation Programme (PMEGP)
union,2016-17,other,1103.16,Space Applications
union,2016-17,education,1051.65,Feedstock
union,2016-17,education,1051.65,Feedstock
union,2016-17,other,1012.64,Biotechnology Research and Development
union,2016-17,other,1012.64,Biotechnology Research and Development
union,2016-17,other,1000.0,Interest Equalisation Scheme
union,2016-17,other,1000.0,Interest Equalisation Scheme
union,2016-17,education,981.24,Passenger Amenities
union,2016-17,education,981.24,Passenger Amenities
union,2016-17,education,977.8,R and D Basic Science and Engineering
union,2016-17,education,977.8,R and D Basic Science and Engineering
union,2016-17,other,971.23,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)
union,2016-17,other,971.23,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)
union,2016-17,education,966.59,Signalling and Telecom
union,2016-17,education,966.59,Signalling and Telecom
union,2016-17,other,932.38,Science and Technology Institutional and Human Capacity Building
union,2016-17,other,932.38,Science and Technology Institutional and Human Capacity Building
union,2016-17,other,900.0,Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank)
union,2016-17,other,900.0,Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank)
union,2016-17,other,835.0,Central Pool of Resources for North East and Sikkim
union,2016-17,other,831.69,Non-residential
union,2016-17,other,812.26,Viability Gap Funding
union,2016-17,education,811.05,Animal Science
union,2016-17,education,811.05,Animal Science
union,2016-17,other,805.91,Space Applications
union,2016-17,other,803.2,327.
union,2016-17,other,799.6,Joint Staff - Navy
union,2016-17,other,799.6,Joint Staff - Navy
union,2016-17,education,795.16,Traffic Facilities - Yard Remodeling and Others
union,2016-17,education,795.16,Traffic Facilities - Yard Remodeling and Others
union,2016-17,healthcare,779.42,Pardhan Mantri Swasthya Suraksha Yojana
union,2016-17,education,766.81,Strengthening of Power Systems
union,2016-17,education,753.86,Agricultural Extension
union,2016-17,education,753.86,Agricultural Extension
union,2016-17,other,745.82,327.
union,2016-17,security,716.7,Defence Ordnance Factories
union,2016-17,security,716.7,Defence Ordnance Factories
union,2016-17,education,715.68,Credit Support Programme
union,2016-17,education,715.68,Credit Support Programme
union,2016-17,other,710.69,Non-residential
union,2016-17,other,700.79,National Mission on Food Processing (SAMPDA)
union,2016-17,other,700.79,National Mission on Food Processing (SAMPDA)
union,2016-17,education,689.84,Transfer to National Clean Energy  Fund (NCEF) - Off-Grid/Distributed and Decentralized Renewable Power
union,2016-17,education,689.84,Transfer to National Clean Energy  Fund (NCEF) - Off-Grid/Distributed and Decentralized Renewable Power
union,2016-17,other,680.0,Viability Gap Funding
union,2016-17,other,661.22,Other works
union,2016-17,other,661.22,Other works
union,2016-17,education,660.79,Agricultural Universities and Institutions
union,2016-17,education,660.79,Agricultural Universities and Institutions
union,2016-17,other,649.57,Construction Works - Navy
union,2016-17,other,649.57,Construction Works - Navy
union,2016-17,other,645.0,Central Pool of Resources for North East and Sikkim
union,2016-17,education,610.24,Natural Resource Management Institutes including Agro Forestry Research
union,2016-17,education,610.24,Natural Resource Management Institutes including Agro Forestry Research
union,2016-17,infrastructure,609.75,Procurement of Cotton by Cotton Corporation under Price Support Scheme
union,2016-17,infrastructure,609.75,Procurement of Cotton by Cotton Corporation under Price Support Scheme
union,2016-17,education,592.76,Capacity Building- Panchayat Sashaktikaran Abhiyaan (PSA) / Rashtriya Gram Swaraj Abhiyan (RGSA)
union,2016-17,education,592.76,Capacity Building- Panchayat Sashaktikaran Abhiyaan (PSA) / Rashtriya Gram Swaraj Abhiyan (RGSA)
union,2016-17,healthcare,575.45,Family Welfare Schemes
union,2016-17,healthcare,575.45,Family Welfare Schemes
union,2016-17,other,571.99,Exim Bank
union,2016-17,other,571.99,Exim Bank
union,2016-17,infrastructure,567.01,Subsidy on Import of Edible Oil-Past Liabilities
union,2016-17,infrastructure,567.01,Subsidy on Import of Edible Oil-Past Liabilities
union,2016-17,education,564.15,Power System Development Fund
union,2016-17,education,564.15,Power System Development Fund
union,2016-17,other,550.29,"Innovation, Technology Development and Deployment"
union,2016-17,other,550.0,Schemes for Development of Sugar Industries
union,2016-17,education,548.83,Solar Power - Off-Grid/Distributed and Decentralized Renewable Power
union,2016-17,education,548.83,Solar Power - Off-Grid/Distributed and Decentralized Renewable Power
union,2016-17,other,546.29,"Innovation, Technology Development and Deployment"
